"BehaviorSpace results (NetLogo 6.3.0)"
"Social impact theory.nlogo"
"experiment"
"04/19/2023 15:52:21:143 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","max-h","probability-of-spin-up","[step]","magnetization"
"2","100","50","100","0.8684807256235828"
"5","100","50","88","0.12018140589569161"
"3","100","50","113","0.9138321995464853"
"4","100","50","90","0.9229024943310657"
"1","100","50","88","0.6326530612244898"
"2","100","50","101","0.8684807256235828"
"5","100","50","89","0.12018140589569161"
"4","100","50","91","0.9229024943310657"
"3","100","50","114","0.9047619047619048"
"1","100","50","89","0.6326530612244898"
"5","100","50","90","0.12018140589569161"
"2","100","50","102","0.8684807256235828"
"4","100","50","92","0.9229024943310657"
"1","100","50","90","0.6281179138321995"
"3","100","50","115","0.909297052154195"
"5","100","50","91","0.11564625850340136"
"3","100","50","116","0.909297052154195"
"2","100","50","103","0.8684807256235828"
"4","100","50","93","0.9229024943310657"
"1","100","50","91","0.6281179138321995"
"5","100","50","92","0.12018140589569161"
"3","100","50","117","0.9138321995464853"
"4","100","50","94","0.9229024943310657"
"2","100","50","104","0.8684807256235828"
"1","100","50","92","0.6235827664399093"
"3","100","50","118","0.9138321995464853"
"5","100","50","93","0.12471655328798185"
"4","100","50","95","0.9229024943310657"
"2","100","50","105","0.8684807256235828"
"3","100","50","119","0.9138321995464853"
"5","100","50","94","0.12018140589569161"
"1","100","50","93","0.6281179138321995"
"4","100","50","96","0.9229024943310657"
"2","100","50","106","0.8684807256235828"
"3","100","50","120","0.9138321995464853"
"5","100","50","95","0.11564625850340136"
"4","100","50","97","0.9229024943310657"
"1","100","50","94","0.63718820861678"
"2","100","50","107","0.8684807256235828"
"3","100","50","121","0.9138321995464853"
"5","100","50","96","0.12018140589569161"
"1","100","50","95","0.63718820861678"
"4","100","50","98","0.9229024943310657"
"2","100","50","108","0.8684807256235828"
"3","100","50","122","0.9138321995464853"
"5","100","50","97","0.10657596371882086"
"1","100","50","96","0.63718820861678"
"2","100","50","109","0.8684807256235828"
"4","100","50","99","0.9229024943310657"
"3","100","50","123","0.909297052154195"
"5","100","50","98","0.1111111111111111"
"2","100","50","110","0.8684807256235828"
"1","100","50","97","0.63718820861678"
"4","100","50","100","0.9229024943310657"
"3","100","50","124","0.909297052154195"
"5","100","50","99","0.11564625850340136"
"2","100","50","111","0.8684807256235828"
"1","100","50","98","0.6417233560090703"
"4","100","50","101","0.9229024943310657"
"3","100","50","125","0.909297052154195"
"5","100","50","100","0.12018140589569161"
"2","100","50","112","0.8684807256235828"
"4","100","50","102","0.927437641723356"
"1","100","50","99","0.6417233560090703"
"3","100","50","126","0.9138321995464853"
"5","100","50","101","0.11564625850340136"
"2","100","50","113","0.8684807256235828"
"4","100","50","103","0.927437641723356"
"5","100","50","102","0.12471655328798185"
"1","100","50","100","0.6417233560090703"
"3","100","50","127","0.9138321995464853"
"2","100","50","114","0.8684807256235828"
"5","100","50","103","0.12018140589569161"
"4","100","50","104","0.927437641723356"
"1","100","50","101","0.6417233560090703"
"3","100","50","128","0.9183673469387755"
"2","100","50","115","0.8639455782312925"
"4","100","50","105","0.927437641723356"
"5","100","50","104","0.1473922902494331"
"1","100","50","102","0.6417233560090703"
"2","100","50","116","0.8639455782312925"
"3","100","50","129","0.9183673469387755"
"4","100","50","106","0.927437641723356"
"5","100","50","105","0.1383219954648526"
"1","100","50","103","0.6507936507936508"
"2","100","50","117","0.8639455782312925"
"3","100","50","130","0.927437641723356"
"4","100","50","107","0.927437641723356"
"5","100","50","106","0.13378684807256236"
"3","100","50","131","0.927437641723356"
"2","100","50","118","0.8639455782312925"
"4","100","50","108","0.927437641723356"
"1","100","50","104","0.6507936507936508"
"5","100","50","107","0.13378684807256236"
"3","100","50","132","0.927437641723356"
"2","100","50","119","0.8639455782312925"
"1","100","50","105","0.6507936507936508"
"4","100","50","109","0.927437641723356"
"5","100","50","108","0.1292517006802721"
"2","100","50","120","0.8684807256235828"
"3","100","50","133","0.9319727891156463"
"1","100","50","106","0.6462585034013606"
"5","100","50","109","0.12471655328798185"
"2","100","50","121","0.8639455782312925"
"3","100","50","134","0.9319727891156463"
"4","100","50","110","0.927437641723356"
"1","100","50","107","0.6507936507936508"
"5","100","50","110","0.13378684807256236"
"2","100","50","122","0.8684807256235828"
"3","100","50","135","0.9319727891156463"
"4","100","50","111","0.927437641723356"
"1","100","50","108","0.6598639455782312"
"5","100","50","111","0.1292517006802721"
"2","100","50","123","0.8684807256235828"
"3","100","50","136","0.9319727891156463"
"4","100","50","112","0.927437641723356"
"1","100","50","109","0.6598639455782312"
"5","100","50","112","0.1292517006802721"
"2","100","50","124","0.8684807256235828"
"3","100","50","137","0.9319727891156463"
"4","100","50","113","0.927437641723356"
"1","100","50","110","0.6689342403628118"
"5","100","50","113","0.12018140589569161"
"2","100","50","125","0.8639455782312925"
"3","100","50","138","0.9365079365079365"
"5","100","50","114","0.12018140589569161"
"1","100","50","111","0.6689342403628118"
"4","100","50","114","0.927437641723356"
"2","100","50","126","0.8684807256235828"
"3","100","50","139","0.9365079365079365"
"5","100","50","115","0.12018140589569161"
"1","100","50","112","0.6598639455782312"
"2","100","50","127","0.8684807256235828"
"4","100","50","115","0.927437641723356"
"5","100","50","116","0.11564625850340136"
"3","100","50","140","0.9365079365079365"
"1","100","50","113","0.6598639455782312"
